Id,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag,group_key
165093,2030566,42,8,single,rented,no,Statistician,Bihar_Sharif,Bihar,4,14,0,Bihar_Sharif_Statistician_Bihar_single_no_rented
207532,1923313,71,5,single,rented,no,Magistrate,Pallavaram,Tamil_Nadu,3,10,1,Pallavaram_Magistrate_Tamil_Nadu_single_no_rented
198276,7243585,57,15,single,rented,yes,Surveyor,Maheshtala,West_Bengal,9,11,1,Maheshtala_Surveyor_West_Bengal_single_yes_rented
53704,5633671,63,4,married,rented,no,Flight_attendant,Jammu[16],Jammu_and_Kashmir,3,11,0,Jammu[16]_Flight_attendant_Jammu_and_Kashmir_married_no_rented
85652,1178145,67,0,single,rented,no,Designer,Bijapur,Karnataka,0,11,0,Bijapur_Designer_Karnataka_single_no_rented
251993,7551745,57,7,married,rented,no,Secretary,Nadiad,Gujarat,4,12,0,Nadiad_Secretary_Gujarat_married_no_rented
225527,1177650,46,5,single,rented,yes,Fashion_Designer,Dhanbad,Jharkhand,5,12,1,Dhanbad_Fashion_Designer_Jharkhand_single_yes_rented
81205,7541730,23,2,single,rented,no,Psychologist,Amroha,Uttar_Pradesh,2,10,0,Amroha_Psychologist_Uttar_Pradesh_single_no_rented
248505,8124352,42,20,single,rented,no,Police_officer,Bulandshahr,Uttar_Pradesh,11,11,0,Bulandshahr_Police_officer_Uttar_Pradesh_single_no_rented
99594,814828,72,2,single,rented,no,Lawyer,Madhyamgram,West_Bengal,2,11,0,Madhyamgram_Lawyer_West_Bengal_single_no_rented
100117,5923212,57,2,single,rented,yes,Chemical_engineer,Sikar,Rajasthan,2,11,0,Sikar_Chemical_engineer_Rajasthan_single_yes_rented
174137,2277963,33,10,married,rented,yes,Drafter,Berhampore,West_Bengal,10,11,0,Berhampore_Drafter_West_Bengal_married_yes_rented
129010,9350545,48,16,single,rented,no,Lawyer,Ambarnath,Maharashtra,12,14,0,Ambarnath_Lawyer_Maharashtra_single_no_rented
5384,9961107,33,15,single,rented,yes,Surveyor,Karimnagar,Telangana,11,14,0,Karimnagar_Surveyor_Telangana_single_yes_rented
166497,80183,72,4,single,rented,yes,Financial_Analyst,Srinagar,Jammu_and_Kashmir,4,13,1,Srinagar_Financial_Analyst_Jammu_and_Kashmir_single_yes_rented
133945,8768562,67,13,married,rented,no,Army_officer,Etawah,Uttar_Pradesh,4,10,0,Etawah_Army_officer_Uttar_Pradesh_married_no_rented
185328,6490702,41,0,single,rented,no,Firefighter,Farrukhabad,Uttar_Pradesh,0,14,0,Farrukhabad_Firefighter_Uttar_Pradesh_single_no_rented
78116,363970,33,9,single,rented,no,Graphic_Designer,Tiruchirappalli[10],Tamil_Nadu,9,10,0,Tiruchirappalli[10]_Graphic_Designer_Tamil_Nadu_single_no_rented
149516,1315700,53,4,single,rented,no,Civil_engineer,Thoothukudi,Tamil_Nadu,4,14,0,Thoothukudi_Civil_engineer_Tamil_Nadu_single_no_rented
229323,3864522,67,11,married,rented,no,Software_Developer,Bareilly,Uttar_Pradesh,11,14,0,Bareilly_Software_Developer_Uttar_Pradesh_married_no_rented
